Date,Open,High,Low,Close,Adj Close,Volume
2022-09-19,102.879997,103.489998,98.010002,99.169998,99.169998,97528200
2022-09-26,98.610001,101.400002,96.029999,96.150002,96.150002,119479200
2022-10-03,97.220001,103.730003,97.019997,99.570000,99.570000,107302500
2022-10-10,99.849998,101.290001,95.269997,97.180000,97.180000,110928000
2022-10-17,99.519997,104.220001,98.230003,101.480003,101.480003,120609600
2022-10-24,102.089996,105.099998,91.900002,96.580002,96.580002,215828700
2022-10-31,95.779999,96.349998,83.449997,86.699997,86.699997,205326600
2022-11-07,87.339996,97.360001,86.959999,96.730003,96.730003,156756100
2022-11-14,95.500000,100.419998,95.112999,97.800003,97.800003,127449900
2022-11-21,97.559998,99.069000,94.410004,97.599998,97.599998,63702500
2022-11-28,97.199997,102.589996,94.389999,100.830002,100.830002,120675600
2022-12-05,99.815002,101.750000,93.019997,93.070000,93.070000,114959500
2022-12-12,93.089996,99.800003,90.010002,90.860001,90.860001,165406600
2022-12-19,90.879997,91.199997,86.940002,89.809998,89.809998,106804800
2022-12-26,89.309998,89.500000,86.370003,88.730003,88.730003,70821500
2023-01-02,89.830002,91.550003,85.570000,88.160004,88.160004,97533700
2023-01-09,89.195000,92.980003,86.699997,92.800003,92.800003,113236000
2023-01-16,92.779999,99.419998,90.839996,99.279999,99.279999,124989900
2023-01-23,99.129997,101.580002,95.262001,100.709999,100.709999,143746600
2023-01-30,98.745003,108.820000,97.519997,105.220001,105.220001,156510500
2023-02-06,102.684998,108.669998,93.860001,94.860001,94.860001,279981700
2023-02-13,95.010002,97.879997,92.650002,94.589996,94.589996,189331400
2023-02-20,93.239998,93.415001,88.860001,89.349998,89.349998,121977600
2023-02-27,90.089996,94.110001,89.519997,94.019997,94.019997,133166200
2023-03-06,94.360001,96.300003,90.800003,91.010002,91.010002,135073900
2023-03-13,90.565002,103.489998,89.940002,102.459999,102.459999,232819600
2023-03-20,101.059998,107.510002,100.790001,106.059998,106.059998,148115600
2023-03-27,105.320000,105.400002,100.279999,104.000000,104.000000,129573000
2023-04-03,102.669998,109.629997,102.379997,108.900002,108.900002,97645500
2023-04-10,107.389999,109.580002,104.970001,109.459999,109.459999,103633800
2023-04-17,105.430000,107.050003,103.800003,105.910004,105.910004,108311100
2023-04-24,106.050003,109.150002,103.269997,108.220001,108.220001,152080300
2023-05-01,107.720001,108.680000,104.500000,106.214996,106.214996,98871600
2023-05-08,105.794998,118.440002,105.790001,117.919998,117.919998,177969500
2023-05-15,116.489998,126.478996,116.480003,123.250000,123.250000,138403400
2023-05-22,123.510002,127.050003,120.750000,125.430000,125.430000,136293400
2023-05-29,126.290001,126.745003,122.889999,125.230003,125.230003,113159600
2023-06-05,124.610001,129.550003,122.010002,122.870003,122.870003,121421400
2023-06-12,123.394997,126.699997,122.160004,124.059998,124.059998,147406900
2023-06-19,123.535004,125.175003,119.599998,123.019997,123.019997,95634800
2023-06-26,121.466003,122.720001,116.910004,120.970001,120.970001,112543100
2023-07-03,120.320000,123.370003,119.250000,120.139999,120.139999,70433500
2023-07-10,119.070000,127.089996,115.830002,125.699997,125.699997,125325000
2023-07-17,126.059998,127.279999,118.684998,120.309998,120.309998,148100100
2023-07-24,121.926003,134.070007,121.379997,133.009995,133.009995,163216400
2023-07-31,133.009995,133.830002,127.775002,128.539993,128.539993,98769600
2023-08-07,129.509995,132.647003,128.750000,130.169998,130.169998,85249400
2023-08-14,129.850006,132.490997,127.000000,128.110001,128.110001,97128800
2023-08-21,127.849998,134.970001,127.160004,130.690002,130.690002,103276000
2023-08-28,132.080002,138.580002,130.850006,136.800003,136.800003,114105800
2023-09-04,136.440002,137.514999,133.960007,137.199997,137.199997,68331200
2023-09-11,137.380005,139.550003,134.929993,138.300003,138.300003,116800800
2023-09-18,137.630005,139.929993,134.520004,134.589996,134.589996,53148900
