Date,Open,High,Low,Close,Adj Close,Volume
2022-09-21,8.863000,8.910000,8.712000,8.819000,8.543608,9398940
2022-09-22,8.692000,9.324000,8.656000,9.033000,8.750924,16358469
2022-09-23,9.040000,9.040000,8.601000,8.632000,8.362447,15245531
2022-09-26,8.512000,8.648000,8.446000,8.491000,8.225850,9090399
2022-09-27,8.519000,8.587000,8.128000,8.128000,7.874185,15219822
2022-09-28,8.001000,8.019000,7.476000,7.854000,7.608741,24709992
2022-09-29,7.776000,7.810000,7.461000,7.594000,7.356860,13505184
2022-09-30,7.615000,7.734000,7.517000,7.646000,7.407237,10709219
2022-10-03,7.456000,7.687000,7.249000,7.630000,7.391737,13941136
2022-10-04,7.705000,8.070000,7.676000,8.070000,7.817996,12496377
2022-10-05,8.127000,8.140000,7.901000,7.934000,7.686243,10868838
2022-10-06,7.981000,8.051000,7.848000,7.867000,7.621336,8334226
2022-10-07,7.840000,7.990000,7.766000,7.822000,7.577741,7882187
2022-10-10,7.765000,8.145000,7.756000,7.964000,7.715307,10330624
2022-10-11,7.897000,7.897000,7.687000,7.778000,7.535114,10278114
2022-10-12,7.756000,7.826000,7.596000,7.788000,7.544803,9289863
2022-10-13,7.789000,8.433000,7.737000,8.360000,8.098940,18140608
2022-10-14,8.584000,8.807000,8.476000,8.611000,8.342102,20234820
2022-10-17,8.643000,8.720000,8.498000,8.630000,8.360509,11973260
2022-10-18,8.663000,8.984000,8.648000,8.853000,8.576545,13475346
2022-10-19,8.880000,9.012000,8.812000,8.887000,8.609484,11245593
2022-10-20,8.850000,8.960000,8.778000,8.929000,8.650172,5764132
2022-10-21,8.854000,8.932000,8.713000,8.896000,8.618202,15737461
2022-10-24,9.000000,9.258000,8.925000,9.117000,8.832301,10989972
2022-10-25,9.200000,9.266000,9.107000,9.266000,8.976648,10904268
2022-10-26,9.413000,9.488000,9.070000,9.377000,9.084182,14405725
2022-10-27,9.350000,9.910000,9.350000,9.856000,9.548224,20602859
2022-10-28,9.740000,9.893000,9.696000,9.826000,9.519161,9506676
2022-10-31,9.850000,9.892000,9.635000,9.660000,9.358345,10031583
2022-11-01,9.724000,9.863000,9.706000,9.728000,9.424221,7278279
2022-11-02,9.779000,9.868000,9.738000,9.793000,9.487192,6777249
2022-11-03,9.815000,9.841000,9.586000,9.669000,9.367064,6467970
2022-11-04,9.739000,9.846000,9.614000,9.726000,9.422284,9840712
2022-11-07,9.661000,9.907000,9.645000,9.766000,9.461035,7553470
2022-11-08,9.759000,9.871000,9.731000,9.871000,9.562757,6350854
2022-11-09,9.872000,9.946000,9.593000,9.693000,9.390314,10202874
2022-11-10,9.658000,10.028000,9.611000,9.964000,9.652852,12473082
2022-11-11,10.060000,10.318000,10.010000,10.218000,9.898921,14581534
2022-11-14,10.214000,10.346000,10.126000,10.178000,9.860169,7329376
