Date,Open,High,Low,Close,Adj Close,Volume
2023-02-01,142.020004,144.475006,139.279999,143.050003,143.050003,746600
2023-02-02,142.639999,144.970001,141.830002,144.399994,144.399994,606800
2023-02-03,142.910004,145.220001,141.860001,142.059998,142.059998,379200
2023-02-06,140.000000,142.559998,139.259995,140.960007,140.960007,333700
2023-02-07,140.000000,142.139999,138.869995,142.115005,142.115005,375700
2023-02-08,140.199997,142.350006,140.199997,141.149994,141.149994,629900
2023-02-09,141.149994,144.190002,140.460007,140.539993,140.539993,633900
2023-02-10,140.500000,142.320007,140.000000,141.509995,141.509995,485700
2023-02-13,141.490005,143.699997,141.199997,143.000000,143.000000,466800
2023-02-14,143.160004,144.399994,142.399994,143.919998,143.919998,462800
2023-02-15,142.500000,147.660004,142.119995,147.619995,147.619995,633200
2023-02-16,145.919998,146.675003,141.350006,141.389999,141.389999,676500
2023-02-17,140.050003,140.279999,137.330002,138.619995,138.619995,814900
2023-02-21,138.960007,141.925003,137.419998,137.529999,137.529999,618200
2023-02-22,137.720001,138.509995,134.179993,134.630005,134.630005,865800
2023-02-23,134.020004,135.600006,130.880005,134.389999,134.389999,1027100
2023-02-24,132.389999,133.895004,129.020004,133.309998,133.309998,673800
2023-02-27,134.000000,134.130005,130.000000,130.860001,130.860001,663400
2023-02-28,130.149994,130.835007,129.050003,130.050003,130.050003,557100
2023-03-01,128.289993,130.550003,126.519997,127.480003,127.480003,804000
2023-03-02,126.519997,128.389999,125.440002,127.980003,127.980003,536300
2023-03-03,128.449997,131.800003,128.445007,130.770004,130.770004,507500
2023-03-06,131.000000,132.309998,130.259995,131.539993,131.539993,281700
2023-03-07,131.020004,131.839996,129.020004,129.020004,129.020004,404400
2023-03-08,128.619995,129.199997,127.910004,128.880005,128.880005,370200
2023-03-09,128.990005,130.220001,127.169998,127.290001,127.290001,693200
2023-03-10,127.010002,129.509995,126.250000,127.449997,127.449997,694400
2023-03-13,124.589996,131.235001,124.589996,129.770004,129.770004,514100
2023-03-14,130.699997,132.479996,129.559998,130.380005,130.380005,496700
2023-03-15,128.279999,130.559998,128.279999,129.940002,129.940002,578200
2023-03-16,130.399994,132.475006,129.179993,131.960007,131.960007,506400
2023-03-17,130.820007,132.289993,129.520004,129.639999,129.639999,794300
2023-03-20,128.809998,132.320007,128.500000,132.080002,132.080002,469900
2023-03-21,132.240005,134.770004,132.000000,133.330002,133.330002,534600
2023-03-22,134.110001,136.914993,133.250000,133.679993,133.679993,439500
2023-03-23,134.895004,135.899994,128.000000,129.389999,129.389999,837600
2023-03-24,128.500000,129.389999,127.230003,128.199997,128.199997,618700
2023-03-27,123.199997,128.089996,119.980003,123.599998,123.599998,1794600
2023-03-28,124.050003,125.370003,122.190002,123.000000,123.000000,783300
2023-03-29,124.349998,125.160004,122.589996,122.970001,122.970001,627000
2023-03-30,122.849998,123.785004,121.260002,122.570000,122.570000,775500
2023-03-31,121.949997,125.050003,121.720001,124.570000,124.570000,805400
2023-04-03,124.150002,129.710007,124.150002,129.529999,129.529999,665500
2023-04-04,129.600006,130.750000,125.099998,125.870003,125.870003,628300
2023-04-05,126.000000,127.089996,125.139999,125.599998,125.599998,333100
2023-04-06,125.559998,128.923996,125.209999,128.899994,128.899994,377200
2023-04-10,128.110001,128.509995,125.959999,127.709999,127.709999,323300
2023-04-11,126.250000,127.709999,125.541000,126.339996,126.339996,344000
2023-04-12,126.620003,128.490005,125.760002,125.809998,125.809998,358800
2023-04-13,126.139999,129.779999,125.589996,129.649994,129.649994,436500
2023-04-14,129.100006,131.520004,128.139999,129.660004,129.660004,313500
2023-04-17,129.000000,129.095001,124.019997,124.750000,124.750000,687900
2023-04-18,125.000000,125.000000,122.440002,123.190002,123.190002,513800
2023-04-19,122.400002,123.080002,120.470001,121.790001,121.790001,637600
2023-04-20,120.760002,122.583000,120.389999,120.940002,120.940002,350800
2023-04-21,120.389999,120.389999,117.831001,118.279999,118.279999,855600
2023-04-24,113.839996,117.400002,111.529999,116.930000,116.930000,1192000
2023-04-25,116.000000,116.500000,114.000000,114.250000,114.250000,509600
2023-04-26,113.860001,114.199997,109.980003,110.599998,110.599998,684000
2023-04-27,110.080002,111.879997,109.430000,111.720001,111.720001,553000
2023-04-28,110.690002,114.900002,109.809998,114.239998,114.239998,729800
2023-05-01,112.500000,113.330002,111.459999,111.989998,111.989998,436200
2023-05-02,111.050003,113.305000,110.320000,111.059998,111.059998,418000
2023-05-03,109.980003,111.190002,108.959999,110.120003,110.120003,512800
2023-05-04,110.010002,110.945000,107.540001,107.639999,107.639999,791800
2023-05-05,107.445000,109.580002,106.639999,108.430000,108.430000,1218000
2023-05-08,113.019997,113.019997,107.639999,108.050003,108.050003,1224000
2023-05-09,105.919998,106.180000,101.980003,104.680000,104.680000,1413000
2023-05-10,103.000000,104.690002,101.309998,102.599998,102.599998,1517900
2023-05-11,101.500000,102.860001,100.080002,102.580002,102.580002,1076800
2023-05-12,102.989998,106.040001,102.599998,105.239998,105.239998,801700
2023-05-15,104.650002,108.265999,104.010002,107.900002,107.900002,728900
2023-05-16,106.769997,107.320000,105.080002,105.599998,105.599998,487700
2023-05-17,108.040001,108.419998,105.150002,105.150002,105.150002,943400
2023-05-18,105.250000,105.599998,103.949997,104.949997,104.949997,604600
2023-05-19,105.339996,107.400002,104.919998,106.489998,106.489998,481000
2023-05-22,106.489998,108.879997,106.099998,107.500000,107.500000,574700
2023-05-23,107.529999,119.004997,107.279999,116.300003,116.300003,2473100
2023-05-24,117.000000,117.180000,110.309998,111.089996,111.089996,1149300
2023-05-25,112.070000,112.139999,108.209999,108.730003,108.730003,571200
2023-05-26,109.010002,109.379997,104.589996,105.269997,105.269997,897300
2023-05-30,105.349998,105.419998,103.050003,104.349998,104.349998,610700
